iteration	period
1	0.267744
2	0.241446
3	0.230568
4	0.291476
5	0.247865
6	3.276242
7	3.287765
8	0.493447
9	0.156074
10	0.194672
11	0.678148
12	0.206291
13	0.221761
14	0.261275
15	0.174144
16	0.233538
17	0.276498
18	0.57323
19	0.648064
20	0.228236
21	0.228436
22	0.347698
23	0.195039
24	0.644558
25	0.266473
26	0.2154
27	0.256105
28	0.693635
29	2.198452
30	0.304829
31	0.762369
32	1.442103
33	0.909658
34	0.153143
35	0.268268
36	0.622342
37	0.208839
38	0.125126
39	0.219629
40	0.463467
41	0.108084
42	0.158526
43	0.113116
44	0.158583
45	0.417673
46	0.401694
47	0.204984
48	0.294158
49	0.748103
50	0.163726
51	0.106548
52	0.180109
53	0.213375
54	0.629898
55	0.24043
56	0.16868
57	0.574246
58	0.173901
59	0.140748
60	0.192418
61	0.098338
62	0.151686
63	0.632838
64	0.197695
65	0.156305
66	0.126989
67	0.204001
68	0.189477
69	0.108967
70	0.16684
71	0.109664
72	0.177616
73	0.113923
74	0.110574
75	0.126144
76	0.111138
77	0.102137
78	0.170793
79	0.122849
80	0.23976
81	0.22963
82	0.235693
83	0.174346
84	0.115645
85	0.535184
86	0.178287
87	0.182483
88	0.217483
89	0.096827
90	0.208942
91	0.120665
92	0.367335
93	3.256332
94	0.635565
95	0.224809
96	0.179697
97	0.21295
98	0.107334
99	0.216359
100	0.233341
101	0.419903
102	0.195087
103	0.644355
104	0.180434
105	0.220859
106	0.231731
107	0.120128
108	0.150124
109	0.142409
110	0.172594
111	0.138545
112	0.179049
113	0.303356
114	0.159318
115	0.236388
116	0.230905
117	0.236886
118	0.193262
119	0.18773
120	0.151885
121	0.215695
122	0.235087
123	0.156677
124	0.229183
125	0.159388
126	0.170785
127	0.611999
128	0.227073
129	0.180703
130	0.242664
131	0.564096
132	0.218574
133	0.12717
134	0.158969
135	0.673807
136	0.150865
137	0.215934
138	0.210261
139	0.670055
140	0.400272
141	0.154073
142	0.107429
143	0.190595
144	0.320483
145	0.383435
146	0.21433
147	0.32689
148	0.225143
149	0.209581
150	0.45221
151	0.230286
152	0.207793
153	0.154637
154	0.178683
155	0.204392
156	0.139842
157	0.214134
158	0.230895
159	0.687765
160	0.22149
161	0.202032
162	0.203156
163	0.448133
164	0.454694
165	0.244838
166	0.203477
167	0.243819
168	0.260062
169	0.248834
170	0.23528
171	0.191286
172	0.131616
173	0.52822
174	0.324109
175	0.225727
176	0.254093
177	0.446602
178	0.472837
179	0.114525
180	0.140191
181	0.11413
182	0.223445
183	0.237279
184	0.837052
185	0.256039
186	1.717627
187	0.234437
188	0.239886
189	0.201117
190	0.216131
191	0.206805
192	0.464659
193	0.110018
194	0.093016
195	0.113993
196	0.129702
197	0.202214
198	0.194554
199	0.195161
200	0.219427
201	0.113492
202	0.101577
203	0.356155
204	0.238019
205	0.608529
206	0.228108
207	0.235059
208	0.217824
209	0.688633
210	3.246597
211	0.335201
212	0.263665
213	0.277867
214	0.315986
215	0.309234
216	0.467905
217	0.207257
218	0.621519
219	0.412158
220	0.361481
221	0.586613
222	0.255471
223	0.518068
224	0.449213
225	0.607916
226	0.258283
227	0.210862
228	0.229385
229	0.4762
230	3.044821
231	0.412624
232	0.447161
233	0.23811
234	0.239959
235	3.241207
236	0.658391
237	0.252699
238	0.211212
239	0.157404
240	0.491581
241	0.337793
242	0.196961
243	0.263052
244	1.476107
245	0.446377
246	0.286036
247	0.231623
248	0.310746
249	0.278932
250	6.266968
251	6.302407
252	7.829281
253	6.639949
254	6.243117
255	6.162955
256	9.098612
257	7.95087
258	8.549918
259	6.30004
260	6.786099
261	7.010923
262	7.224417
263	6.69161
264	7.286142
265	6.940782
266	6.828572
267	11.47532
268	7.712306
269	6.809872
270	6.723092
271	6.257646
272	6.69039
273	6.540304
275	6.307377
276	6.380817
277	6.310704
278	10.702075
279	11.503276
280	6.738534
281	6.339251
282	6.264466
283	6.265873
284	6.810697
285	6.351611
286	6.772219
287	6.183229
288	6.733419
289	6.286395
290	7.056792
291	6.662214
292	6.881049
293	14.887987
294	6.994237
295	6.295204
296	6.693677
297	6.445018
298	6.8401
299	6.342614
300	6.677569
301	6.342799
302	6.364017
303	6.661539
304	6.429518
305	6.362446
306	6.77939
307	6.255095
308	6.258535
309	6.671481
310	6.156544
311	6.721491
312	6.231115
313	6.724091
314	6.270611
315	6.705867
316	6.270564
317	6.137367
318	6.713939
319	6.261729
320	6.356749
321	6.64344
322	6.319061
323	6.337869
324	6.313958
325	6.266698
326	6.326162
327	6.226883
328	6.631932
329	6.446851
330	6.664442
331	6.187685
332	6.665453
333	6.181903
334	6.691994
335	6.219387
336	6.515323
337	6.237432
338	6.25417
339	6.147212
340	6.663755
341	6.309531
342	6.671288
343	6.619863
344	6.315364
345	6.623946
346	6.329402
347	6.214124
348	6.593666
349	6.249727
350	6.645915
351	6.292499
352	6.20927
353	6.340567
354	6.688114
355	6.312636
356	6.238204
357	6.248107
358	6.690706
359	6.236522
360	6.649859
361	6.704966
362	6.297538
363	6.715328
364	6.267071
365	6.658503
366	6.229618
367	6.594766
368	6.29573
369	6.648192
370	6.672201
371	6.48306
372	6.309536
373	6.750408
374	6.625713
375	6.697661
376	6.243341
377	6.69337
378	6.179597
379	6.194858
380	6.246732
381	6.713882
382	6.23366
383	6.246591
384	6.231804
385	6.837225
386	6.219604
387	6.184551
388	6.234976
389	9.224368
390	6.260473
391	6.687297
392	6.287464
393	6.201932
394	6.628391
396	6.611533
397	6.274978
398	6.233146
399	6.272952
400	6.757638
401	6.613811
402	6.313691
403	6.693227
404	6.234761
405	7.286976
406	6.162236
407	6.571342
408	6.113738
409	6.507664
410	6.103112
411	6.149538
412	9.856806
413	15.158055
414	9.421058
415	9.697982
416	7.17285
417	6.136294
418	6.646965
419	10.416919
420	9.420652
421	6.694381
422	7.133074
423	6.838472
424	6.480591
425	28.045122
426	11.681358
427	7.193258
428	6.691115
429	6.239546
430	6.657293
431	6.22936
432	6.246113
433	6.641637
434	6.269395
435	6.262644
436	6.264844
437	7.595575
438	6.227922
439	6.252977
440	6.253772
441	6.641525
442	6.250071
443	6.63397
444	6.272838
445	6.267563
446	6.228652
447	6.223351
448	8.141464
449	7.164337
450	8.918926
451	6.204361
452	6.186404
453	6.283117
454	6.231746
455	6.416741
456	6.478229
457	6.665489
458	6.255249
459	6.266522
460	6.771199
461	6.713764
462	6.648412
