iteration	period
1	0.289695
2	0.284536
3	60.951456
4	0.61248
5	0.221175
6	0.620642
7	0.332905
8	0.309944
9	0.212113
10	0.233813
11	0.948926
12	1.398094
13	1.411103
14	0.319971
15	0.293066
16	0.242329
17	0.260235
18	0.215772
19	0.233186
20	0.223317
21	0.22022
22	0.239876
23	1.541227
24	0.281513
25	0.300108
26	0.302541
27	0.201503
28	0.302401
29	2.271164
30	0.224055
31	1.453839
32	0.302552
33	1.479497
34	0.250691
35	0.320388
36	0.198063
37	0.239462
38	0.24234
39	0.207066
40	0.239311
41	0.222089
42	0.202855
43	0.391645
44	0.191741
45	0.262194
46	0.388966
47	0.265118
48	1.693606
49	0.183851
50	1.211559
51	0.17772
52	0.254346
53	0.199565
54	0.317103
55	0.335185
56	0.266428
57	0.20777
58	1.381529
59	0.209738
60	0.395106
61	0.21912
62	0.180045
63	0.155042
64	0.629572
65	0.228027
66	0.23301
67	0.20526
68	0.212955
69	0.198188
70	1.380784
71	0.245395
72	1.017794
73	0.28842
74	1.511856
75	2.144287
76	0.346299
77	0.274307
78	0.258812
79	0.174466
80	0.201497
81	0.238741
82	0.648438
83	0.173226
84	1.032714
85	0.21326
86	0.33906
87	0.424467
88	0.186989
89	1.506546
90	0.212603
91	0.820156
92	0.273395
93	1.465019
94	0.300753
95	0.284089
96	0.265293
97	0.208619
98	1.474952
99	0.219848
100	0.554338
101	0.232249
102	0.228912
103	0.217069
104	0.22069
105	0.206694
106	0.225391
107	0.221574
108	0.67831
109	0.382918
110	0.247741
111	0.22458
112	1.90313
113	0.359019
114	0.433963
115	0.32499
116	0.277529
117	0.51646
118	0.272542
119	0.304753
120	0.271148
121	1.700308
122	0.238606
123	0.216544
124	0.304278
125	2.137888
126	0.406037
127	0.601872
128	0.372718
129	0.25848
130	0.271662
131	0.228002
132	1.115254
133	0.321789
134	0.234536
135	0.240262
136	0.178751
137	0.422288
138	0.577474
139	0.256337
140	0.230441
141	0.257566
142	0.275271
143	0.208412
144	0.417973
145	0.310341
146	0.195726
147	0.215199
148	0.392235
149	1.439556
150	0.276206
151	0.621987
152	0.193115
153	0.277754
154	2.145347
155	0.250738
156	3.462393
157	0.350953
158	0.219725
159	0.256916
160	0.219761
161	0.348652
162	0.233367
163	0.317184
164	0.216153
165	2.638841
166	0.224984
167	0.217925
168	0.216765
169	0.256911
170	0.212353
171	0.333039
172	1.077469
173	0.231474
174	0.177704
175	0.327039
176	0.217275
177	0.296028
178	0.43599
179	0.21768
180	1.352932
181	0.219178
182	1.393488
183	0.408856
184	0.623322
185	0.279467
186	0.263363
187	0.218981
188	0.182563
189	0.226076
190	0.207227
191	0.196343
192	0.195273
193	0.238199
194	0.224999
195	0.196527
196	0.230798
197	0.456323
198	0.504327
199	0.271503
200	0.217336
201	0.25857
202	1.058241
203	0.247626
204	0.270398
205	0.247357
206	0.232683
207	0.60762
208	0.650638
209	0.249874
210	0.28379
211	0.235594
212	1.37299
213	0.305957
214	0.291434
215	0.421731
216	0.311183
217	3.045513
218	0.445408
219	0.64681
220	1.622729
221	2.310002
222	0.291276
223	0.795653
224	0.607695
225	1.417029
226	0.318903
227	0.247328
228	2.650935
229	0.419411
230	0.395214
231	0.291317
232	0.345452
233	0.315593
234	1.56125
235	0.259327
236	0.278507
237	1.310594
238	2.092798
239	0.273636
240	0.240197
241	0.288148
242	0.919825
243	6.287034
244	6.329921
245	6.423791
246	6.276085
247	7.208503
248	6.43295
249	6.279961
